No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000037472,8.01.780.007.22683,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SAIFI, S.Pd /SDN KECIL KOLAGANA",Restoran,JL. POROS KOLAGANA
2,P20000000337472,8.01.760.008.43838,KANTOR KECAMATAN MURHUM,"L.M.FIRMAN SYAHHIDAYAT SURI, A.Md",Restoran,"JL. DR, WAHIDIN NO. 125"
3,P20000000157472,8.01.710.004.46657,BALITBANG,"ISRIANTI, ST",Restoran,JL. RE MARTADINATA NO. 01 / IBUKU CAKE
4,P20000000067472,8.01.750.005.21841,DINAS KESEHATAN,"HJ. ROSIDA, S.Kep.,Ns /PUSKESMAS KADOLOMOKO",Restoran,JL. ANOA
5,P20000000747472,8.01.760.007.55248,SMK NEGERI 1 BAUBAU,"LA ODE ABDUL GAFUR, S.Pd",Restoran,JL.BETOAMBARI NO.7
6,P20000000047472,8.01.720.015.58049,SEKRETARIAT DAERAH KOTA BAUBAU,RANILI/ BAGIAN UMUM SETDA,Restoran,JL. RAYA PALAGIMATA/ NAUFAL CATERING
7,P20000000207472,8.01.760.010.1057,KANTOR BLUD RUMAH SAKIT,KANTOR BLUD RUMAH SAKIT,Restoran,JL.RAYA PALAGIMATA
8,P20000000517472,8.01.760.008.59647,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA,SULKUFLI/ROSLINA/DALDUK,Restoran,JL. BETOAMBARI
9,P20000001567472,8.01.760.008.33834,SD NEGERI 2 LAMANGGA,"ASRUL SARIHI, S.Pd.I",Restoran,"JL. SIJAWANGKATI, S.Pd.I / KANTIN SDN 2 LAMANGGA"
10,P20000000017472,8.01.720.015.36762,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI,S.IP/ BID,PERBENDAHARAAN",Restoran,JL.RAYA PAALGIMATA/ KEDAI SAQUEENA
11,P20000000067472,8.01.710.011.9440,DINAS KESEHATAN,"EVI FITRIANI, S.SI",Restoran,JL. BAKTI ABRI
12,P20000000037472,8.01.760.010.17123,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"MASRIDA, S.Pd/ SDN 2 BAADIA",Restoran,JL. LA BUKE
13,P20000000167472,8.01.720.007.8940,KOPERASI DAN UMKM,SANTI MALIHU,Restoran,JL.DAYANU IKHSANUDDIN
14,P20000002677472,8.01.720.003.48274,PAUD LAWA,WA ODE FITRA RIZKIA,Restoran,JL. LABUKE / NW CATERING
15,P20000000407472,8.01.760.009.24500,DINAS PARIWISATA,I KOMANG SUTRISNAYASA,Restoran,JL. LABUKE
16,P20000000047472,8.01.720.015.56841,SEKRETARIAT DAERAH KOTA BAUBAU,RANILI/ BAGIAN UMUM SETDA,Restoran,JL. RAYA PALAGIMATA/WARUNG PUTRA BUNDA LAMONGAN
17,P20000000127472,8.01.730.001.58443,KECAMATAN SORAWOLIO,DIAWATI/ KEC.SORAWOLIO,Restoran,"Kelurahan Kaisabu Baru, Kec. Sorawolio Kota Baubau, Citrarasa Food and Cake"
18,P20000000277472,8.01.710.003.2952,DINAS PERIZINAN PENANAMAN MODAL DAN PTSP,"WA ODE ROSDIANA,SE",Restoran,JLJENDRAL SUDIRMAN
19,P20000000067472,8.01.710.011.61259,DINAS KESEHATAN,"Sri Rezki Eliasma, Evi Fitriani",Restoran,Jln. Bakti Abri No. 001
20,P20000000157472,8.01.710.003.35531,BALITBANG,"YUSNIAR ARIFIN,AMd.Kom",Restoran,JL.JENDRAL SUDIRMAN NO.53 / IBUKU CAKE
21,P20000000027472,8.01.720.001.38378,DINAS PERTANIAN DAN KETAHANAN PANGAN,UNGAODE/SEKRETARIAT,Restoran,JL. DAYANU IKHSANUDDIN/SATRIANI AMAL
22,P20000000257472,8.01.710.003.11181,BADAN KESBANGPOL,RINI ISNAINI,Restoran,JL. MUH. HUSNI THAMRIN
23,P20000000037472,8.01.750.004.23651,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"NAZIRUN, S.Pd /SDN WARURUMA",Restoran,JL. ANOA
24,P20000000937472,8.01.730.002.47059,SMP NEGERI 10 BAUBAU,"SYAMSIR, S.Pdi",Restoran,JL.POROS PASARWAJO KM.15
25,P20000000127472,8.01.730.001.49899,KECAMATAN SORAWOLIO,NURYADIN/ KEL.KAISABU BARU,Restoran,"Kelurahan Kaisabu Baru, Kec. Sorawolio Kota Baubau, Citrarasa Food and Cake"
26,P20000000687472,8.01.760.011.26526,SMA NEGERI 2 BAUBAU,"SYAMSUDDIN HIYMU, S.Pd,M.Pd",Restoran,JL. BETOAMBARI NO. 67
