No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000001387472,8.01.760.011.37952,SMP NEGERI 3 BAUBAU,"MUK'INAH, S.Pd",Restoran,JL. BETOAMBARI NIO. 71
2,P20000000017472,8.01.720.015.10734,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI, S.IP BIDANG ANGGARAN",Restoran,JL. RAYA PALAGIMATA
3,P20000001067472,8.01.710.002.49461,SMP NEGERI 17 BAUBAU,"RATNA, A.Md.Kom",Restoran,JL.MUH. HUSNI THAMRIN NO.28
4,P20000000697472,8.01.720.015.26094,SMA NEGERI 3 BAUBAU,"LA ADE PARIA, S.Pd",Restoran,JL. DAYANU IKHSANUDDIN
5,P20000000257472,8.01.710.002.62439,BADAN KESBANGPOL,"Muh. Firdauzi Idris Wally, S.Sos / Ketahanan Keg.Monitoring",Restoran,Jl. Muh. Husni Thamrin / Cahaya Nusantara Food ( Shalawat Bakery )
6,P20000002397472,8.01.760.009.39571,TK.MURHUM,"ZAMLIA, S.Pd",Restoran,JL.SULTAN LABUKE
7,P20000000047472,8.01.720.015.12793,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN /BAG.PEMBANGUNAN,Restoran,JL. RAYA PALAGIMATA
8,P20000002227472,8.01.720.007.51112,TKS.AL-MABRUR,"NURIYAH,S.Pd.I,M.Pd",Restoran,JLN. BETOAMBARI / USAHA DAGANG
9,P20000000257472,8.01.710.003.27798,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos",Restoran,JL. MH. THAMRIN NO. 20
10,P20000000827472,8.01.760.010.64041,SMP NEGERI 7 BAUBAU,"MINARNI,S.Pd",Restoran,JL.Drs.H.LA ODE MANARFA /UMKM WINDA
11,P20000000017472,8.01.720.015.41187,BADAN PENGELOLA KEUANGAN ASET DAERAH,BAMBANG SAATI,Restoran,JL. RAYA PALAGIMATA
12,P20000000177472,8.01.710.005.14723,KECAMATAN WOLIO,NURMILA,Restoran,JL. DIPONEGORO NO. 21
13,P20000001477472,8.01.740.008.52739,SD NEGERI 2 LIABUKU,"JUFRIAN SAHID, S.Pd",Restoran,JL. ANOA NO. 13 / KIOS INDAH
14,P20000001387472,8.01.760.011.29482,SMP NEGERI 3 BAUBAU,"MUK INAH, S.Pd",Restoran,JL. BETOAMBARI
15,P20000001567472,8.01.760.008.65621,SD NEGERI 2 LAMANGGA,"ASRUL SARIHI, S.Pd.I.,Gr",Restoran,JL.SIJAWANGKATI / KANTIN SDN 2 LAMANGGA
16,P20000000257472,8.01.710.002.42838,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos/BID. KETAHANAN EKONOMI KEG. MONITORING TRIWULAN I TANGGAL 10 JANUARI 2024",Restoran,JL. MUH. HUSNI THAMRIN NO.20/FA3SHA BUSSINES KULINER
17,P20000000047472,8.01.720.015.16831,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
18,P20000000487472,8.01.710.003.26935,INSPEKTORAT KOTA BAUBAU,"DEWI MIRNA, S.ST",Restoran,JL.JEND.SUDIRMAN NO.53
19,P20000000107472,8.01.710.011.31123,DINAS PERHUBUNGAN,"ZALIATI, S.IP",Restoran,JL. BAKTI ABRI
20,P20000001327472,8.01.710.003.32843,TK AISYIYAH BUSTANUL ATHFAL,"ROSNAWATI, S.Pd",Restoran,JL.JENDERAL SUDIRMAN / CATERING ROS
21,P20000000407472,8.01.760.009.4458,DINAS PARIWISATA,I KOMANG SUTRISNAYASA,Restoran,JL.SULTAN LABUKE
22,P20000000037472,8.01.780.001.12562,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"WA ODE HASIMAWATI, S.Pd.SD SDN 1 BATARAGURU",Restoran,JL. PROF. FUJITA
23,P20000000017472,8.01.720.015.44510,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI,S.IP BID.PERBENDAHARAAN",Restoran,JL.RAYA PALAGIMATA/ GOLDEN BAKERY
24,P20000000217472,8.01.720.007.19049,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST",Restoran,JL. DAYANU IKHSANUDDIN
25,P20000000107472,8.01.710.011.55915,DINAS PERHUBUNGAN,Zaliati,Restoran,Jl. Bhakti Abri
26,P20000000567472,8.01.760.008.57510,SATUAN POLISI PAMONG PRAJA,"CHAIRIL BACHTIAR,S.Sos",Restoran,JLN BETOAMBARI/RM TALAGO
27,P20000000217472,8.01.720.001.34567,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
28,P20000000047472,8.01.720.015.6819,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL.RAYA PALAGIMATA
29,P20000000037472,8.01.770.004.19943,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SINAR ALAM, S.Pd.I /TK TUNAS MANURU",Restoran,JL. LAELANGI NO. 25
30,P20000000047472,8.01.710.002.46130,SEKRETARIAT DAERAH KOTA BAUBAU,"SYAWALUDDIN,S.Ak/ Bag. Ekonomi SETDA Kota Baubau",Restoran,JL RAYA PALAGIMATA/ JUMAS COOK
31,P20000000047472,8.01.720.015.21116,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
32,P20000000047472,8.01.720.015.0517,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL.RAYA PALAGIMATA
33,P10000010847472,8.01.760.008.59119,THE TIME'S COFFE,RAHMAWATI PUTRI,Restoran,JL.DR WAHIDDIN
34,P20000000687472,8.01.760.011.36240,SMA NEGERI 2 BAUBAU,LA ODE ZAHALUDIN. S.Pd,Restoran,JL. BETOAMBARI NO. 67 / CIMY SNACK & BAKERY
35,P20000000057472,8.01.720.015.8686,BAPPEDA,NASARUL LA ANGKA,Restoran,JL. RAYA PALAGIMATA
36,P20000000037472,8.01.760.011.25247,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SUNARDIN, S.Pd / SMP NEGERI 4 BAUBAU",Restoran,JL. BETOAMBARI NO. 69
37,P20000000047472,8.01.720.015.47737,SEKRETARIAT DAERAH KOTA BAUBAU,"SYAWALUDDIN, S.Ak/Bagian Umum Setda",Restoran,JL. RAYA PALAGIMATA / RM. FAMILI
38,P20000000207472,8.01.760.010.23538,KANTOR BLUD RUMAH SAKIT,"TASRIF, SKM",Restoran,JL. Drs. H. LA ODE MANARFA
39,P20000000067472,8.01.750.001.2325,DINAS KESEHATAN,"NURIA ACIS, S.Farm. Apt PUSKESMAS LIWUTO",Restoran,JLN. SULTAN MARDAN ALI NO. 355
40,P20000000217472,8.01.720.001.60727,DINAS PEKERJAAN UMUM,"AHMAD HENDRA KAIF, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
41,P20000001597472,8.01.730.003.37856,SD NEGERI GONDA,"RAMLI BITOMBA,. S.Pd",Restoran,JLN. POROS BAUBAU PASARWAJO KM. 19
