No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000257472,8.01.710.003.1362,BADAN KESBANGPOL,"BUSTAMIN USMAR, SE",Restoran,JL.MUH.HUSNI THAMRIN NO.20
2,P20000000337472,8.01.760.008.34121,KANTOR KECAMATAN MURHUM,LIYA YUSLIYA / KELURAHAN WAJO,Restoran,JL. DR. WAHIDIN / LUSY ANEKA MAKANAN DAN KUE
3,P20000000217472,8.01.720.001.37046,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
4,P20000000447472,8.01.720.001.6367,KANTOR KECAMATAN BETOAMBARI,"BAHARUDDIJN, S.IP KELURAHAN SULAA",Restoran,JL. LA BAWEA
5,P20000000217472,8.01.720.007.9755,DINAS PEKERJAAN UMUM,"HUMAIRAH, AMd",Restoran,JL. DAYANU IKHSANUDDIN
6,P20000000037472,8.01.750.003.17968,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"NURMILA, S.Pd / SDN 2 BUNGI",Restoran,JL. ANOA
7,P20000000167472,8.01.720.007.42555,KOPERASI DAN UMKM,ZULKIFLI PAMILI / BIDANG UKM,Restoran,JL. DAYANU IKHSANUDDIN
8,P20000000257472,8.01.710.003.20666,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos",Restoran,JL. MUH. HUSNI THAMRIN NO. 20
9,P20000000337472,8.01.760.008.24960,KANTOR KECAMATAN MURHUM,LIYA YUSLIYA,Restoran,JL.DR.WAHIDIN
10,P20000000047472,8.01.720.015.57124,SEKRETARIAT DAERAH KOTA BAUBAU,Ranili,Restoran,Jl. Raya Palagimata / Prende Mama Ardan
11,P10000002157472,8.01.710.007.4130,SUYADI,RM. PUTRI SOLO,Restoran,JL.PAHLAWAN
12,P20000000737472,8.01.710.004.58729,SMA NEGERI 7 BAUBAU,"MUHAMMDAG IQBAL, S.Pd.,Gr",Restoran,JL.JAMBU METE/RM LAILA
13,P20000000217472,8.01.720.007.3417,DINAS PEKERJAAN UMUM,"HUMAIRA,AMd DINAS PEKERJAAN UMUM",Restoran,JL.DAYANU IKHSANUDDIN
14,P20000000217472,8.01.720.001.35822,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
15,P20000000017472,8.01.720.015.38659,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI,S.IP/ BID.ASET",Restoran,JL.RAYA PALAGIMATA
16,P20000000067472,8.01.760.008.8280,DINAS KESEHATAN,"FITRIANI, SKM PUSKESMAS WAJO",Restoran,JL. DR.WAHIDIN
17,P20000000217472,8.01.720.015.11505,DINAS PEKERJAAN UMUM,HUMAIRA BID. JASA KONTRUKSI,Restoran,JL. DAYANU IKHSANUDDIN
18,P20000000037472,8.01.770.002.24278,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"LA ODE SYAHAKTI,S.Pd/SDN 4 WAMEO",Restoran,JL.ERLANGGA NO.74C
19,P20000000757472,8.01.720.015.47345,SMK NEGERI 2 BAUBAU,"LA ODE HAMSIR, S.Pd",Restoran,JL. GAJAH MADA /QANITA UMICORN
20,P20000000257472,8.01.710.003.22788,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos",Restoran,JL. MUH. HUSNI THAMRIN NO.20
21,P20000000257472,8.01.710.003.26823,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos",Restoran,JL. MUH. HUSNI THAMRIN NO. 20
22,P20000000067472,8.01.730.002.1802,DINAS KESEHATAN,"DEWI SARTIKA BAISU IRWAN,AMG PUSKESMAS SORAWOLIO",Restoran,JL.POROS PASAR WAJO
23,P20000000567472,8.01.760.008.60341,SATUAN POLISI PAMONG PRAJA,"CHAIRIL BACHTIAR,S.Sos",Restoran,JLN BETOAMBARI/RM TALAGO
24,P20000001387472,8.01.760.011.37458,SMP NEGERI 3 BAUBAU,"MUINAH, S.Pd",Restoran,JL.BETOAMBARI NO.71 / KEDAI SERIBU BENTENG
25,P20000000247472,8.01.720.007.6924,"DINAS PERUMAHAN, KAWASAN  PEMUKIMAN DAN PERTANAHAN","JAFLI AMIN, SH",Restoran,JL.DAYANU IKHSANUDDIN NO 63
26,P20000000207472,8.01.760.010.10170,KANTOR BLUD RUMAH SAKIT,"TASRIF, SKM",Restoran,JL. Drs. H. LA ODE MANARFA
27,P20000000047472,8.01.720.015.13733,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. PALAGIMATA
28,P20000000817472,8.01.720.015.48973,TK. ANAK.SALEH LIPU,"HAMIDA, S.Pd.I",Restoran,JL.BARU
29,P20000000077472,8.01.720.015.25591,SEKRETARIAT DPRD,"SAMSINA, S.Sos",Restoran,JL RAYA PALAGIMATA
30,P20000000187472,8.01.750.004.28586,KECAMATAN KOKALUKUNA,LA ODE AHMAD RAMADHAN,Restoran,JL.BUKIT KAHOLEO
31,P20000000297472,8.01.710.003.61952,DINAS PEMUDA DAN OLAH RAGA,"MARTINA, S.IP",Restoran,Jln. JENDERAL SUDIRMAN No. 69
32,P20000002387472,8.01.750.004.39066,SD NEGERI TOMBA,"MUHANARNI, S.Pd",Restoran,JL. ANOA
33,P20000000187472,8.01.750.002.41899,KECAMATAN KOKALUKUNA,"JAFLI AMIN,SH/KEL.SUKANAYO",Restoran,JLN.LAKAPEALAI/WARUNG MAKAN DAN KUE NIAR
34,P20000000457472,8.01.780.001.12016,KANTOR KECAMATAN LEA-LEA,RAMAYANA /KEL.LOWU-LOWU,Restoran,JL.SULTAN MURHUM 1
35,P20000000207472,8.01.760.010.15647,KANTOR BLUD RUMAH SAKIT,"TASRIF, SKM",Restoran,JL.Drs.H. LA ODE MANARFA
