No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000427472,8.01.720.015.46944,DINAS PERPUSTAKAAN DAN KERASIPAN,"Mukmina, S.Sos/Sekretariat",Restoran,Jl. Dayanu Ikhsanuddin /Kedai Nur Syuhada
2,P20000000307472,8.01.740.008.49784,KANTOR KECAMATAN BUNGI,"ERNI YUNANI, S.IP/Bendahara",Restoran,KELURAHAN WALIABUKU/CATERING ALIFKA
3,P20000000227472,8.01.710.011.26411,DINAS LINGKUNGAN HIDUP,"WA ODE SYAMSIAR, A.Md",Restoran,JL.SRIKAYA NO.1
4,P20000000067472,8.01.710.011.59935,DINAS KESEHATAN,"Evi Fitriani, S.Si/ Perencanaan",Restoran,Jl. Bakti ABRI No. 001
5,P20000000047472,8.01.720.015.62753,SEKRETARIAT DAERAH KOTA BAUBAU,RANILI/BAG. KESRA SETDA KOTA BAUBAU,Restoran,JL. RAYA PALAGIMATA (UMKM WINDAH)
6,P20000000247472,8.01.720.007.3940,"DINAS PERUMAHAN, KAWASAN  PEMUKIMAN DAN PERTANAHAN","JAFLI AMIN, SH",Restoran,JL. DAYANU IKHSANUDDIN
7,P20000000217472,8.01.720.015.13248,DINAS PEKERJAAN UMUM,"HUMAIRA, A.Md",Restoran,JL. DAYANU IKHSANUDDIN
8,P20000002027472,8.01.750.003.48555,KB HARAPAN IBU,WALINI UDARA,Restoran,JL.ANOA
9,P20000000047472,8.01.760.007.51451,SEKRETARIAT DAERAH KOTA BAUBAU,"SYWALUDDIN, S.Ak / BAG. PEMERINTAHAN SETDA",Restoran,Bubur Ayam Amsterdam / Jalan Bataraguru
10,P20000000067472,8.01.720.007.28179,DINAS KESEHATAN,"ROSNIA,SKM/PUSKESMAS KATOBENKE",Restoran,JL.LAKARAMBAU NO.23 C
11,P20000000067472,8.01.710.011.61543,DINAS KESEHATAN,"Soleha, A.Md.Kep / Puskesmas Bukit Wolio Indah",Restoran,Jl. Poros BTN Medibrata / Kedai Korazaki
12,P20000001337472,8.01.760.009.64352,SD NEGERI 1 BAADIA,"ARLIANI, S.Pd",Restoran,JL.LABUKE
