No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000087472,8.01.710.004.63631,B. PEMBERDAYAAN PEREMPUAN,ELISYAH,Restoran,Jl. Cut Nyak Dien no.1
2,P20000000247472,8.02.720.015.34277,"DINAS PERUMAHAN, KAWASAN  PEMUKIMAN DAN PERTANAHAN","WA ODE AMALA RABIA MALIM, ST, MT/BID. PSU",Restoran,JL.DAYANU IKHSANUDDIN NO.63
3,P20000000017472,8.01.720.015.14284,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI, S.IP /BID. PERBENDAHARAAN",Restoran,JL. RAYA PALAGIMATA
4,P20000000097472,8.01.760.011.18085,DINAS PERIKANAN DAN KELAUTAN,"IHSAN ACIS, S.Pi",Restoran,WA ODE WAU
5,P20000002307472,8.01.760.008.52335,SD NEGERI 3 LAMANGGA,"HERNIATI, S.Pd.I",Restoran,JL.SIPANJONGA
6,P20000001337472,8.01.760.009.29073,SD NEGERI 1 BAADIA,"LD.ABDUL AL MUHAIMIN, S.Pd. I.M. FIL. I",Restoran,JL.LABUKE
7,P20000000457472,8.01.780.007.31940,KANTOR KECAMATAN LEA-LEA,MURNIATI MUSU / KEL.PALABUSA,Restoran,JL.PROF. FUJITA / RM.DIAN WIDIYA
8,P20000002057472,8.01.760.009.33676,SD NEGERI KERATON,"FARIDA, S.Pd",Restoran,JL. SULTAN LABUKE / TOKO TIDAS
9,P20000000077472,8.01.720.015.5513,SEKRETARIAT DPRD,"SAMSINA, S.Sos",Restoran,BUKIT PARLEMEN JL RAYA PALAGIMATA
10,P20000001037472,8.01.770.006.65217,SD NEGERI 1 BONE-BONE,"YETI, S.Pd",Restoran,JL WA ODE WAU NO 17/ KANTIN SD NEG 1 BONEBONE
11,P20000000267472,8.01.770.006.42389,KANTOR KECAMATAN BATUPOARO,"SUARDI LA MANI, S.Sos.I / KEL.BONE-BONE",Restoran,JL.WA ODE WAU / TOKO NAJWA KUE
12,P20000000047472,8.01.720.015.16167,SEKRETARIAT DAERAH KOTA BAUBAU,RISNA MULIYATI BAG.PEMERINTAHAN,Restoran,JL.RAYA PALAGIMATA
13,P20000000207472,8.01.760.010.20113,KANTOR BLUD RUMAH SAKIT,TASRIF SKM,Restoran,JL. RAYA PALAGIMATA
14,P20000000517472,8.01.760.008.53929,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA,Sul/mm/fasilitasi kunjungan tamu/Sekretariat.,Restoran,JL.BETOAMBARI
15,P20000000097472,8.01.760.011.30691,DINAS PERIKANAN DAN KELAUTAN,"IHSAN ACIS,S.Pi",Restoran,JL. WA ODE WAU NO. 65
16,P20000000047472,8.01.720.015.32363,SEKRETARIAT DAERAH KOTA BAUBAU,HASNIAR / BAGIAN BENDAHARA RUTIN,Restoran,JL.RAYA PALAGIMATA
17,P20000001227472,8.01.770.005.35370,SD NEGERI 1 WAMEO,"DASNAWATI, S.Pd",Restoran,JL. HAYAM WURUK NO.139 /CATRNG AL. FANDY
18,P20000000017472,8.01.720.015.3859,BPKAPD,BAMBANG SAATI BIDANG PERBENDAHARAAN,Restoran,JL. RAYA PALAGIMATA
19,P20000000447472,8.01.720.007.7823,KANTOR KECAMATAN BETOAMBARI,EMI DARUMANG KELURAHAN KATOBENGKE,Restoran,JL. LAKARAMBAU
20,P20000000037472,8.01.730.002.8919,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"ZAINUDDIN ABUBAKAR,S.Pd.SD",Restoran,JL. POROS BAUBAU PASARWAJO Km.15
21,P20000000077472,8.01.720.001.44098,SEKRETARIAT DPRD,SAMSINA,Restoran,"JL.RAYA PALAGIMATA, BUKIT PARLEMEN/MAMA NAWA"
22,P20000000067472,8.01.710.011.18607,DINAS KESEHATAN,"ASTUTI RAHAYU, S.Kep.Ns / PUSKESMAS WOLIO",Restoran,JL. PAHLAWAN NO. 138
23,P20000000047472,8.01.720.015.22157,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
24,P20000000217472,8.01.720.001.55509,DINAS PEKERJAAN UMUM,"AHMAD HENDRA KAIF, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
25,P20000000067472,8.01.710.011.1341,DINAS KESEHATAN,"EVI FITRIANI,S.Si BIDANG KESLING",Restoran,JL.BAKTI ABRI NO.1
26,P20000000457472,8.01.780.002.34100,KANTOR KECAMATAN LEA-LEA,LA ODE YASMAN /KEC. LEA-LEA,Restoran,JL. RAYA BUKIT KAMPENALO /RM. DIAN WIDYAWATI
27,P20000000047472,8.01.720.015.37025,SEKRETARIAT DAERAH KOTA BAUBAU,HASNIAR / BAG. TAPEM SETDA KOTA BAUBAU,Restoran,KANTIN MADES / JL. RAYA PALAGIMATA
28,P20000000187472,8.01.750.004.6345,KECAMATAN KOKALUKUNA,"MUH.RUSTAM ZAIN,S.IP",Restoran,JL.BUKIT KAHOLEO
29,P20000000217472,8.01.720.007.9734,DINAS PEKERJAAN UMUM,"HUMIARAH, AMd",Restoran,JL. DAYANU IKHSANUDDIN
30,P20000000037472,8.01.760.011.17941,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"HUSNIAH, S.Pd ./ SMP SWASTA BATARAGURU",Restoran,JL. BETOAMBARI NO. 75
31,P20000000167472,8.01.720.001.39134,KOPERASI DAN UMKM,ZULKIFLI PAMILI / BIDANG UKM,Restoran,JL. DAYANU IKHSANUDDIN
32,P20000000337472,8.01.760.008.20597,KANTOR KECAMATAN MURHUM,"LM. FIRMAN SYAHHIDAYAT SURI, A.Md /KEL. LAMANGGA",Restoran,JL. Dr. WAHIDIN NO. 125
33,P20000000017472,8.01.720.015.24930,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI, S.IP / BID. ASET",Restoran,JL. RAYA PALAGIMATA
34,P20000000067472,8.01.710.011.57103,DINAS KESEHATAN,AINUN CATERING,Restoran,JALAN BAKTI ABRI NO 001
35,P20014710003,7057100030002,W.F.PATTI WAYE,W.R OM WALEN,Restoran,JL. JEND. SUDIRMAN
36,P20000000827472,8.01.760.010.58708,SMP NEGERI 7 BAUBAU,"MINARNI,S.Pd",Restoran,JL.Drs. H.. LA ODE MANARFA /UMKM WINDA
37,P20000000217472,8.01.720.007.3396,DINAS PEKERJAAN UMUM,"HUMAIRA,AMd DINAS PEKERJAAN UMUM",Restoran,JL.DAYANU IKHSANUDDIN
38,P20000000617472,8.01.720.015.35801,BADAN PENDAPATAN DAERAH,"LA ODE ARIFUDIN,S.IP /SEKRETARIAT",Restoran,JL. RAYA PALAGIMATA
39,P20000000987472,8.01.710.004.38638,SMP NEGERI 1 BAUBAU,"HARNIAH HAMZAH, S.Pd",Restoran,JL.JAMBU METE NO.1
40,P20000000067472,8.01.770.002.8259,DINAS KESEHATAN,"NURHAYANI ALI, AMKG PUSKESMAS MEO-MEO",Restoran,JL. HAYAM WURUK
41,P20000000217472,8.01.720.007.11484,DINAS PEKERJAAN UMUM,"HUMAIRAH, A.md",Restoran,JL. DAYANU IKHSANUDDIN
42,P20000000037472,8.01.770.002.24257,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"LA ODE SYAHAKTI,S.Pd/SDN 4 WAMEO",Restoran,JL.ERLANGGA NO.74 C
43,P20000000177472,8.01.710.005.47324,KECAMATAN WOLIO,"NURMILA, S.IP/KECAMATAN WOLIO",Restoran,JL.PANGERAN DIPONEGORO NO 21
44,P20000000577472,8.01.710.011.22767,DINAS PERDAGANGAN DAN PERINDUSTRIAN,"NARLIN MEDI ,S.M",Restoran,JL.R.A KARTINI NO.13
45,P20000000257472,8.01.710.003.26802,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos",Restoran,JL. MUH. HUSNI THAMRIN NO. 20
46,P20000000067472,8.01.730.002.1781,DINAS KESEHATAN,"DEWI SARTIKA BAISU IRWAN,AMG PUSKESMAS SORAWOLIO",Restoran,JL.POROS PASAR WAJO
47,P20000000307472,8.01.740.008.60320,KANTOR KECAMATAN BUNGI,"ERNI YUNANI, S.IP / Bendahara Pengeluaran",Restoran,Jalan Anoa KM. 13 / CATERING IMA
48,P20000000217472,8.01.720.015.37437,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/BID. BINA MARGA",Restoran,Jalan Dayanu Ikhsanuddin No. 1/Dapur Mama Athirah
49,P20000000247472,8.01.720.007.6902,"DINAS PERUMAHAN, KAWASAN  PEMUKIMAN DAN PERTANAHAN","JAFLI AMIN, SH",Restoran,JL.DAYANU IKHSANUDDIN NO 36
