No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000057472,8.01.720.015.29312,BAPPEDA,"LA ODE IKRAMANSYAH, SE",Restoran,JL.RAYA PALAGIMATA
2,P20000000507472,8.01.720.015.5839,DINAS KEPENDUDUKAN DAN PENCATAATAN SIPIL KOTA BAUBAU,"SYAWALUDDIN,S.Ak",Restoran,JL.RAYA PALAGIMATA
3,P20000001517472,8.01.750.004.65456,SMP NEGERI 5 BAUBAU,NURHAYATI,Restoran,JL.ANOA
4,P20000000227472,8.01.710.011.42659,DINAS LINGKUNGAN HIDUP,"WD.SYAMSIAR, A.Md/ UPTD LABORATORIUM LINGKUNGAN",Restoran,JL.SIRKAYA/DAPOER MOM SAKA
5,P20000000097472,8.01.760.011.16540,DINAS PERIKANAN DAN KELAUTAN,"IHSAN ACIS, S.Pi",Restoran,JL. WA ODE WAU NO. 65
6,P20000000067472,8.01.760.009.20407,DINAS KESEHATAN,"WA ODE ALFINA, SKM / PUSKESMAS MELAI",Restoran,JL. SULTAN LABUKE
7,P20000000047472,8.01.710.011.54169,SEKRETARIAT DAERAH KOTA BAUBAU,RANILI / BAG.PEMBANGUNAN SETDA KOTA BAUBAU,Restoran,ANISA CATERING
8,P20000000217472,8.01.720.007.30947,DINAS PEKERJAAN UMUM,"SYAHRIFIL,ST",Restoran,JL. DAYANU IKHSANUDDIN
9,P20000001897472,8.01.780.001.32645,TK NEGERI PEMBINA LEA-LEA,"SYAHRAINI, S.Pd",Restoran,JL. PENDIDIKAN / BAKSO SOLO
10,P20000000307472,8.01.740.003.4287,KANTOR KECAMATAN BUNGI,"HASNI,S.IP",Restoran,JL ANOA
11,P20000000067472,8.01.710.001.8091,DINAS KESEHATAN,"NOVIYANTI,SKM / PUSKESMAS BATARAGURU",Restoran,JL. HUSNI THAMRIN
12,P20000000037472,8.01.740.003.12049,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"WA ODE SITTI RAMLA, S.Pd.SD SDN 1 LIABUKU",Restoran,JL. ANOA KM 12
13,P20000000177472,8.01.710.005.44341,KECAMATAN WOLIO,SAIL CATERING,Restoran,JL. SEPULUH NOVEMBER
14,P20000000047472,8.01.720.015.18883,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
15,P20000000067472,8.01.710.011.22499,DINAS KESEHATAN,"WA ODE ALFINA, SKM",Restoran,JL. BAKTI ABRI NO. 001
16,P20000000517472,8.01.760.008.55748,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA,SULKIFLI/MAKANMINUM/MU'JIZAT/DALDUK,Restoran,JL.BETOAMBARI
17,P20000000047472,8.01.720.015.1616,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN BAGIAN PEMBANGUNAN,Restoran,JL.RAYA PALAGIMATA
18,P20000000307472,8.01.740.003.34381,KANTOR KECAMATAN BUNGI,Hasni,Restoran,Kelurahan Liabuku
19,P20000000067472,8.01.710.011.6656,DINAS KESEHATAN,"ARSIA ,SKM PUSKESMAS WAJO",Restoran,JL. BAKTI ABRI
20,P20000000217472,8.01.720.007.9979,DINAS PEKERJAAN UMUM,"HUMAIRAH, AMd",Restoran,JL. DAYANU IKHSANUDDIN
21,P20000000037472,8.01.720.007.19218,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,SRI HARTATI ARAN S.Pd.I / TK LIMBO WOLIO,Restoran,JL. BETOAMBARI
22,P20000000217472,8.01.720.015.45967,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/ BIDANG BINA MARGA",Restoran,Jalan Dayanu Ikhsanuddin No. 1/WM Sentosa (Wahyu Amelia Gafar)
