No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000677472,8.01.710.002.33083,SMA NEGERI 1 BAUBAU,SITI SUMIWATI RANNU,Restoran,JL. MUH. HUSNI THAMRIN / KEDAI MAK LONG FOOF DAN CAKE
2,P20000000047472,8.01.720.015.4802,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
3,P20000000337472,8.01.760.008.64657,KANTOR KECAMATAN MURHUM,LIYA YUSLIYA / KECAMATAN MURHUM,Restoran,JL. DR. WAHIDIN / DAPOER MOM SHAKA
4,P20000000037472,8.01.780.001.13469,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"ADILU, S.Pd,M.Pd /SMPN 8 BAUBAU",Restoran,JL. POROS LOWU-LOWU
5,P20000000097472,8.01.760.011.44739,DINAS PERIKANAN DAN KELAUTAN,"Zaenab, S.Pi/Sekretariat",Restoran,Jln. Wa Ode Wau No. 65/Lakeba Restaurant
6,P20000000617472,8.01.720.015.19360,BADAN PENDAPATAN DAERAH,"LA ODE ARIFUDIN,S.IP BIDANG PENDATAAN DAN PELAYANAN",Restoran,JL. RAYA PALAGIMATA
7,P20000000257472,8.01.710.002.56141,BADAN KESBANGPOL,"MUHAMMAD FIRDAUZI IDRIS WALLY, S.Sos/BID. WASBANG KEG. PEMBUMIAN NILAI NILAI PANCASILA TANGGAL 1 JUN",Restoran,JL. MUH. HUSNI THAMRIN NO.20/TITIN INDASARI
8,P20000001077472,8.01.740.008.34792,SMP NEGERI 9 BAUBAU,ARDI,Restoran,JL. ANOA KM. 12
9,P20000000067472,8.01.710.011.7179,DINAS KESEHATAN,"EVI FITRIANI, S.Si",Restoran,JL.BAKTI ABRI
10,P20000000037472,8.01.710.004.5472,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,HARNIAH HAMZAH.S.pd SMP NEGERI 1 BAUBAU,Restoran,JALAN JAMBU MENTE NO.1
11,P20000000037472,8.01.710.004.21447,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SAUDIN, S.Pd / SPN 18",Restoran,JL. PANGERAN DIPONEGORO NO. 12
12,P20000000897472,8.01.720.015.46355,SEKOLAH DASAR NEGERI 3 KATOBENGKE,"ABDUL RACHMAN, S.Pd",Restoran,JL. SIBATARA / AYAM KREMES AL ROZAK
13,P20000000217472,8.01.720.015.21353,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST",Restoran,JL. DAYANU IKHSANUDDIN NO. 1
14,P20000000377472,8.01.720.007.57735,DINAS SOSIAL,DAHLIA FIUNA,Restoran,JL.DAYANU IKHSANUDDIN
15,P20000000047472,8.01.720.015.0749,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL.RAYA PALAGIMATA
16,P20000001567472,8.01.760.008.59346,SD NEGERI 2 LAMANGGA,"ASRUL SARIHI, S.Pd.I",Restoran,JL.SIJAWANGKATI
17,P20000000257472,8.01.710.002.36462,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos/BID. PENDAFTARAN ORMAS KEG. MONITORING TRIWULAN IV",Restoran,JL. MUH. HUSNI THAMRIN NO. 20/FA3SHA BUSSINES KULINER
18,P20000000507472,8.01.720.015.9072,DINAS KEPENDUDUKAN DAN PENCATAATAN SIPIL KOTA BAUBAU,"SYAWALUDDIN,S.AK  BId.PIAK",Restoran,JL.RAYA PALAGIMATA
19,P20000000037472,8.01.710.011.16247,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,SUDARMIN SALEGA / TK. ABDI PRAJA,Restoran,JL. BAKTI ABRI
20,P20000000037472,8.01.720.015.30456,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"MEIS SAFITRI, A.Md",Restoran,JL. DAYANU IKHSANUDDIN
21,P20000000377472,8.01.720.015.47963,DINAS SOSIAL,HASMUDDIN,Restoran,JL. DAYANU IKHSANUDDIN NO. 55
22,P20000000617472,8.01.720.015.23836,BADAN PENDAPATAN DAERAH,"LA ODE ARIFUDDIN, S. IP",Restoran,JL. RAYA PALAGIMATA
23,P20000000047472,8.01.720.015.2569,SEKRETARIAT DAERAH KOTA BAUBAU,SEKRETARIAT DAERAH,Restoran,JL.RAYA PALAGIMATA
24,P20000001547472,8.01.740.004.60953,SD NEGERI KARING-KARING,"WA ODE ZENI SAMSALIM, S.Pd",Restoran,JL. HASTINA PURO NO.38 /KIOS CHAIRUL
25,P20000002317472,8.01.750.005.38078,SD NEGERI 2 KADOLOMOKO,"LA EDI,S.Pd.SD",Restoran,JL.ANOA NO.148 B / CATERING MOM’S IKSAN
26,P20000000047472,8.01.720.015.10863,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
27,P20000000037472,8.01.770.001.23082,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,JL. HAYAM WURUK NO. 88,Restoran,"WA ODE MULIANA, S.Pd /SDN 2 WAMEO"
28,P20000000977472,8.01.720.001.49596,TK. NIRWANA,"ROSMINI LA TANI,S.Pd I",Restoran,JL.SAPATI MANJAWARI / NW CATERING
29,P20000000677472,8.01.710.002.26226,SMA NEGERI 1 BAUBAU,"RUSDIN,S.Pd",Restoran,JL.MH.THAMRIN NO.29
30,P20000000457472,8.01.780.007.62565,KANTOR KECAMATAN LEA-LEA,La Diri Ladipa/Kel. Palabusa,Restoran,Jln. Prof Fujita
31,P20000000247472,8.01.720.015.0467,"DINAS PERUMAHAN, KAWASAN  PEMUKIMAN DAN PERTANAHAN","JAFLI AMIN, SH",Restoran,JL.D.IKHSANUDDIN NO.63
32,P20000000217472,8.01.720.007.12978,DINAS PEKERJAAN UMUM,"HUMAIRA, A.Md",Restoran,JL. DAYANU IKHSANUDDIN
33,P20000000037472,8.01.720.015.60165,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,MEIS SAFITRI / BIDANG KEBUDAYAAN,Restoran,JLN. DAYANU IKHSANUDDIN NO. 59 A
