No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000077472,8.01.720.015.1588,SEKRETARIAT DPRD,SEKRETARIAT DPRD,Restoran,JL.RAYA PALAGIMAT BUKIT PARLEMEN
2,P20000000097472,8.01.760.011.34353,DINAS PERIKANAN DAN KELAUTAN,"Ihsan Acis, S.Pi/BId Perikanan Tangkap",Restoran,Jln. Wa Ode Wau No. 65/ Restauran  Hing Amimah
3,P20000000177472,8.01.710.001.6628,KECAMATAN WOLIO,NURMA KELURAHAN BATARAGURU,Restoran,JL.WR MONGINSIDI
4,P20000000217472,8.01.720.007.9949,DINAS PEKERJAAN UMUM,"HUMAIRAH, AMd",Restoran,JL. DAYANU IKHSANUDDIN
5,P20000000037472,8.01.710.011.19159,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"IRMAN,S.Pd.M.Pd/ SDN.2 PALATIGA",Restoran,JL.PAHLAWAN
6,P20000001067472,8.01.710.002.45939,SMP NEGERI 17 BAUBAU,"RATNA, A.Md.Kom",Restoran,JLN. MUH. HUSNI THAMRIN NO. 28 / RM. MBAK AMI
7,P20000000217472,8.01.720.015.20911,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST",Restoran,JL. DAYANU IKHSANUDDIN NO. 1
8,P20000000307472,8.01.740.009.25261,KANTOR KECAMATAN BUNGI,ZAIUNUDDIN/KEL.TAMPUNA,Restoran,JL.ANOA
9,P20000000057472,8.01.720.015.57317,BAPPEDA,"La Ode Ikramansyah, SE/BIDANG PPE MAKRO",Restoran,Jl. Raya Palagimata/W A R L I P  Bakery & Cake
10,P20000000337472,8.01.760.009.0249,KANTOR KECAMATAN MURHUM,"ABDUL RASYID , S.Sos KEL. MELAI",Restoran,JL. SULTAN LABUKE
11,P20000000987472,8.01.710.004.58928,SMP NEGERI 1 BAUBAU,"MELYATI, S.Pd",Restoran,JL.JAMBU METE NO.1
12,P20000000217472,8.01.720.007.3621,DINAS PEKERJAAN UMUM,"HUMAIRA,AMd DINAS PEKERJAAN UMUM",Restoran,JL.DAYANU IKHSANUDDIN
13,P20000000687472,8.01.760.011.36048,SMA NEGERI 2 BAUBAU,"LA ODE ZAHALUDIN, S.Pd",Restoran,JL. BETOAMBARI NO. 67 / MZ. CAKE
14,P20000000047472,8.01.720.015.8487,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
15,P20000000017472,8.01.720.015.11766,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI, S.IP BID. AKUNTANSI",Restoran,JL. RAYA PALAGIMATA
16,P20000000037472,8.01.740.005.24624,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"LA ODE ASRIFU, S.Pd.I / SD NEGERI 2 WONCO",Restoran,JL. ANOA KM. 19
17,P20000001547472,8.01.740.004.47546,SD NEGERI KARING-KARING,WA ODE ZENI SAMSALIM,Restoran,JL. HASTINA PURO NO. 38 / KIOS CHAIRUL
18,P20000000277472,8.01.720.015.23027,DINAS  PENANAMAN MODAL DAN PTSP,WA ODE SITTI HASANAH,Restoran,JL. RAYA PALAGIMATA
19,P20000000207472,8.01.760.010.27055,KANTOR BLUD RUMAH SAKIT,"TASRIF,SKM",Restoran,JL.LD.MANARFA
20,P20000000047472,8.01.720.015.2095,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN BAG BARANG DAN JASA SEKRETARIAT DAERAH,Restoran,JL.RAYA PALAGIMATA
21,P20000000047472,8.01.720.015.60535,SEKRETARIAT DAERAH KOTA BAUBAU,RANILI / BAGIAN UMUM SETDA,Restoran,JL. RAYA PALAGIMATA / AYAM GORENG SILVANA
22,P20000000577472,8.01.710.003.37651,DINAS PERDAGANGAN DAN PERINDUSTRIAN,NARLIN MEDI S.M/BID. USAHA PERDAGANGAN,Restoran,JL.R.A KARTINI NO.13/RM. AYU
23,P20000000217472,8.01.720.007.10385,DINAS PEKERJAAN UMUM,"HUMAIRAH, A.Md / BIDANG BINAMARGA",Restoran,JL. DAYANU IKHSANUDDIN NO. 1
24,P20000000497472,8.01.720.007.13970,BADAN PENANGGULANGAN BENCANA DAERAH,ERVINA TAPOOMBI,Restoran,JL. DAYANU IKHSANUDDIN NO. 59
25,P20000000777472,8.01.750.002.49173,SMK NEGERI 4 BAUBAU,"ARIFIN, S.Pd",Restoran,JL. PENDIDIKAN PUMA
26,P20000000747472,8.01.760.007.25786,SMK NEGERI 1 BAUBAU,RR DELTU LA FIRLAZ,Restoran,JL. BETOAMBARI NO. 7
27,P20000000947472,8.01.760.007.28777,SMP NEGERI 2 BAUBAU,"ASRUN, S.Pd",Restoran,JL.SULTAN MURHUM NO.147
28,P20000000517472,8.01.760.008.62144,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA,SULKUFLI/ROSLINA/DALDUK,Restoran,JL. BETOAMBARI
