No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000987472,8.01.710.004.35281,SMP NEGERI 1 BAUBAU,"HARNIAH HAMZAH, S.Pd",Restoran,JL. JAMBU MENTE NO. 1
2,P20000000387472,8.01.710.004.7727,DINAS PEMADAM KEBAKARAN DAN PENYELAMATAN,SUNARNI,Restoran,JL. CUT NYAK DIEN NO.1
3,P20000000037472,8.01.720.002.8751,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"ANHAR, S.Pd SMP NEGERI 15 BAUBAU",Restoran,JL. LABUKE
4,P20000001297472,8.01.710.007.44010,SD NEGERI 1 BATULO,"LA ODE SARWAN, S.Pd",Restoran,JL. PAHLAWAN KM. 6 / KANTIN SEKOLAH
5,P20000000217472,8.01.720.001.46835,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
6,P20000000057472,8.01.720.015.18484,BAPPEDA,"LA ODE IKRAMANSYAH, SE",Restoran,JL. RAYA PALAGIMATA
7,P20000000067472,8.01.720.007.22069,DINAS KESEHATAN,"ROSNIA, SKM /PUSKESMAS KATOBENGKE",Restoran,JL. LAKARAMBAU NO. 23C
8,P20000000337472,8.01.760.011.55421,KANTOR KECAMATAN MURHUM,MUGRIS NUGRAHA/KEL.TANGANAPADA,Restoran,JL. TARBIYAH
9,P20000000067472,8.01.710.011.1253,DINAS KESEHATAN,"EVI FITRIANI,S.Si BIDANG KESMAS",Restoran,JL.BAKTI ABRI NO.1
10,P20000000067472,8.01.710.011.34006,DINAS KESEHATAN,"WA ODE ALFINA, SKM",Restoran,JL. BAKTI ABRI NO. 001 / ASNI
11,P20000000307472,8.01.740.008.36934,KANTOR KECAMATAN BUNGI,SURYANTY,Restoran,KEL. WALIABUKU/ROSNAINI
12,P20000000177472,8.01.710.005.9646,KECAMATAN WOLIO,NURMILA,Restoran,JL.DIPONEGORO
