No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000177472,8.01.710.005.55033,KECAMATAN WOLIO,DESY ANDRIANI,Restoran,BAUBAU
2,P20000000157472,8.01.710.003.0835,BALITBANG,"ALBERTHIN PABESAK, SE",Restoran,JL. JEND SUDIRMAN NO 53
3,P20000000517472,8.01.760.008.59432,DINAS PENGENDALIAN PENDUDUK DAN KELUARGA BERENCANA,SULKIFLI/NASIKOTAK/IZAT/DALDUK,Restoran,JL. BETOAMBARI
4,P20000000077472,8.01.720.001.36547,SEKRETARIAT DPRD,SAMSINA,Restoran,"JL.RAYA PALAGIMATA, BUKIT PARLEMEN/Mama Nawa"
5,P20000000067472,8.01.720.015.9189,DINAS KESEHATAN,"AMRIYA,AMG PUSKESMAS SULAA",Restoran,JL. DAYANU IKHSANUDDIN
6,P20000000037472,8.01.750.004.16470,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,NURHAYATI / SMP NEGERI 5 BAUBAU,Restoran,JL. ANOA NO. 21 B
7,P20000000037472,8.01.720.015.37018,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,Meis safitri,Restoran,Jl. Dayanu Ikhsanuddin No. 59 A
8,P20000000227472,8.01.710.011.48048,DINAS LINGKUNGAN HIDUP,WA ODE SYAMSIAR/BID.TATA LINGKUNGAN,Restoran,JL.SIRKAYA/RM.AYU
9,P20000000017472,8.01.720.015.23941,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI, S.IP /BID.ASET",Restoran,JL. RAYA PALAGIMATA
10,P20000000297472,8.01.710.003.56624,DINAS PEMUDA DAN OLAH RAGA,MARTINA,Restoran,Jln.  JENDERAL SUDIRMAN No. 69
11,P20000000177472,8.01.710.002.58228,KECAMATAN WOLIO,"MUHAMAD NUR SALIM, S.IP",Restoran,Jl. Wolter Monginsidi No. 77 Baubau
12,P20000000047472,8.01.720.015.2731,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN BAG KESRA,Restoran,JL.RAYA PALAGIMATA
13,P20000000167472,8.01.710.002.61040,KOPERASI DAN UMKM,ZULKIFLI PAMILI / BIDANG UKM,Restoran,JL. MUH. HUSNI THAMRIN No.13
14,P20000000047472,8.01.720.015.38163,SEKRETARIAT DAERAH KOTA BAUBAU,HASNIAR/ BAGIAN UMUM SETDA,Restoran,TANAH ABANG/ RUMAH MAKAN TERAS IBU FATIMAH
15,P20000000047472,8.01.720.015.10956,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL.RAYA PALAGIMATA
16,P20000000037472,8.01.780.002.23171,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SRIWATI, S.Pd / SDN KALIALIA",Restoran,JL. POROS KALIALIA
17,P20000000027472,8.01.720.015.49682,DINAS PERTANIAN DAN KETAHANAN PANGAN,"ASNAWAR, S.Pt., M.Pt/ SEKRETARIAT",Restoran,JL. DAYANU IKHSANUDDIN NO. 51/ YULIS
18,P20000000257472,8.01.710.003.26311,BADAN KESBANGPOL,"RINI ISNAINI, S.Sos",Restoran,JL. MUH. HUSNI THAMRIN NO. 20
19,P20000000217472,8.01.720.001.59829,DINAS PEKERJAAN UMUM,"AHMAD HENDRA KAIF, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/Kedai Threesod
20,P20000000457472,8.01.780.003.62650,KANTOR KECAMATAN LEA-LEA,"Marlina, S.IP/ Kel. Kantalai",Restoran,Jln. Padat Karya
21,P20000000247472,8.01.720.015.2053,"DINAS PERUMAHAN, KAWASAN  PEMUKIMAN DAN PERTANAHAN","JAFLI AMIN, SH",Restoran,JLN. DAYANU IKHSANUDDIN NO. 63
22,P20000000017472,8.01.720.015.13078,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG,S.IP/BID.SEKRETARIAT",Restoran,JL.RAYA PALAGIMATA
23,P20000000777472,8.01.750.002.51331,SMK NEGERI 4 BAUBAU,"ARIFIN, S.Pd",Restoran,JL. PENDIDIKAN PUMA / KIOS RABANI
24,P20000001097472,8.01.730.002.28070,PKBM BARUGA LESTARI,TISYANTO AZZAHRA / PAKET B,Restoran,JL. POROS BAUBAU PASARWAJO KM. 15
25,P20000000017472,8.01.720.015.61443,BADAN PENGELOLA KEUANGAN ASET DAERAH,BAMBANG SAATI.SIP/ BID ASET,Restoran,JL.RAYA PALAGIMATA
26,P20000001047472,8.01.730.001.64252,SD NEGERI KABAURIA,"SULFIANI HATMA, S.Pd",Restoran,JL.POROS BAUBAU PASARWAJO
27,P20000000217472,8.01.720.001.41401,DINAS PEKERJAAN UMUM,"SYAHRIFIL, ST/BID.TATA RUANG",Restoran,Jalan Dayanu Ikhsanuddin No. 1/RM.Nusantara
28,P20000000057472,8.01.720.015.15004,BAPPEDA,"LA ODE IKRAMANSYAH, SE",Restoran,JL. RAYA PALAGIMATA
29,P20000000457472,8.01.780.001.52950,KANTOR KECAMATAN LEA-LEA,LAODE YASMAN,Restoran,KEL. KANTALAI / DIAN WIDYAWATI
30,P20000000677472,8.01.710.002.29693,SMA NEGERI 1 BAUBAU,SITI SUMIWATI RANNU,Restoran,"JL.MUH,HUSNI THAMRIN NO.29"
31,P20000001387472,8.01.760.011.31334,SMP NEGERI 3 BAUBAU,"MUK'INAH, S.Pd",Restoran,JL. BETOAMBARI NO.71
32,P20000000337472,8.01.760.007.63056,KANTOR KECAMATAN MURHUM,LUSY ANEKA MAKANAN DAN KUE,Restoran,BAUBAU
33,P20000000037472,8.01.710.005.2676,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"HARNIAH HAMZAH, S.Pd SMP NEG 1",Restoran,JL. JAMBU MENTE
34,P20000000567472,8.01.770.003.26952,SATUAN POLISI PAMONG PRAJA,"SRIANTO,S.Si",Restoran,GEDUNG PRESTASI KOTAMARA
35,P20000000017472,8.01.720.015.17169,BADAN PENGELOLA KEUANGAN ASET DAERAH,BAMBANG SAATI,Restoran,JL. RAYA PALAGIMATA
36,P20000000017472,8.01.720.015.54543,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI,S.IP/BID. ASET",Restoran,JL.RAYA PALAGIMATA
37,P20000000677472,8.01.710.002.33072,SMA NEGERI 1 BAUBAU,SITI SUMIATI RANNU,Restoran,JL. MUH. HUSNI THAMRIN / KEDAI MAK LONG FOOF DAN CAKE
38,P20000000047472,8.01.720.015.4791,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
39,P20000000337472,8.01.760.008.64646,KANTOR KECAMATAN MURHUM,LIYA YUSLIYA / KECAMATAN MURHUM,Restoran,JL. DR. WAHIDIN
40,P20000000037472,8.01.730.002.13411,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"HARTINI, S.Pd.SD /SDN KARYA BARU",Restoran,JL. POROS PASAR WAJO
41,P20000000677472,8.01.710.002.44725,SMA NEGERI 1 BAUBAU,"DAHLAN, S.Pd",Restoran,JL.MH.THAMRIN
42,P20000000067472,8.01.770.006.19345,DINAS KESEHATAN,"ASNIA, S. Kep.Ns",Restoran,JL. WAWOKIA
43,P20000000817472,8.01.720.015.56130,TK. ANAK.SALEH LIPU,"HAMIDA, S.Pd.I",Restoran,JL.BARU
44,P20000000507472,8.01.720.015.57724,DINAS KEPENDUDUKAN DAN PENCATAATAN SIPIL KOTA BAUBAU,"SYAWALUDDIN, S.Ak",Restoran,"Jl. Raya Palagimata No.,"
