No.,NPWPD,NOP,Nama WP,Nama OP,Jenis Pajak,Alamat
1,P20000000037472,8.01.770.006.19799,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SITTI KURNIAWATI, S.Ag. / TK AL ISLAM",Restoran,JL. KEMBANG NO. 22
2,P20000000047472,8.01.720.007.46109,SEKRETARIAT DAERAH KOTA BAUBAU,"SYAWALUDDIN,S.Ak/ Bag. Ekonomi SETDA Kota Baubau",Restoran,JL RAYA PALAGIMATA/ JUMAS COOK
3,P20000000047472,8.01.720.015.21095,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL. RAYA PALAGIMATA
4,P20000000047472,8.01.720.015.0496,SEKRETARIAT DAERAH KOTA BAUBAU,ARDIN NADIMIN,Restoran,JL.RAYA PALAGIMATA
5,P20000000067472,8.01.730.004.59098,DINAS KESEHATAN,"NURMAWATI, S.ST / UPTD PUSKESMAS SORAWOLIO",Restoran,JL. POROS PASARWAJO KM. 15 KEL.BUGI KEC. SORAWOLIO / KEDAI IBU NUNUNG
6,P20000000687472,8.01.760.011.36219,SMA NEGERI 2 BAUBAU,"LA ODE ZAHALUDIN, S.Pd",Restoran,JL. BETOAMBARI NO. 67 / CIMY SNACK & BAKERY
7,P20000000067472,8.01.740.005.8660,DINAS KESEHATAN,"JAYATI, AMd.Kep PUSKESMAS KAMPEONAHO",Restoran,JL. ANOA Km19
8,P20000000037472,8.01.760.011.25226,DINAS PENDIDIKAN PEMUDA DAN OLAH RAGA,"SUNARDIN, S.Pd / SMP NEGERI 4 BAUBAU",Restoran,JL. BETOAMBARI NO. 69
9,P20000000047472,8.01.720.015.47716,SEKRETARIAT DAERAH KOTA BAUBAU,"SYAWALUDDIN, S.Ak/Bagian Umum Setda",Restoran,JL. RAYA PALAGIMATA / PARENDE MAMA ARDAN
10,P20000000227472,8.01.710.011.23512,DINAS LINGKUNGAN HIDUP,"WA ODE SYAMSIAR, A.Ma",Restoran,JL. SRIKAYA NO. 1
11,P20000000067472,8.01.760.008.2277,DINAS KESEHATAN,"FITRIANI, SKM PUSKESMAS WAJO",Restoran,JL.Dr WAHIDIN
12,P20000001167472,8.01.770.002.60706,SD NEGERI 4 WAMEO,"LENI,S.Pd",Restoran,JL.ERLANGGA NO.74 C / KANTIN SDN 4 WAMEO
13,P20000001067472,8.01.710.002.37828,SMP NEGERI 17 BAUBAU,"RATNA,AMd.Kom",Restoran,JL. MUH. HUSNI THAMRIN NO. 28 /LALAPAN MBAK AMI
14,P20000000067472,8.01.750.005.10580,DINAS KESEHATAN,HJ. ROSIDA /PUSKESMAS KADOLOMOKO,Restoran,JL. ANOA
15,P20000000127472,8.01.730.001.49344,KECAMATAN SORAWOLIO,MUSLIN/ KEL. SORAWOLIO,Restoran,"Kelurahan Karya Baru, Kec. Sorawolio Kota Baubau, Citrarasa Food and Cake"
16,P20000000737472,8.01.710.004.25968,SMA NEGERI 7 BAUBAU,"ABDUL LATIF, S.Pd",Restoran,JL.JAMBU METE
17,P20000000277472,8.01.720.015.62322,DINAS  PENANAMAN MODAL DAN PTSP,DEWI SARTIKA/BID. PENGENDALIAN,Restoran,JL. RAYA PALAGIMATA/WAHYU AMALIA GAFAR
18,P20000000987472,8.01.710.004.39448,SMP NEGERI 1 BAUBAU,"HARNIAH HAMZAH, S.Pd",Restoran,JL.JAMBU METE NO.1
19,P20000000017472,8.01.720.015.12622,BADAN PENGELOLA KEUANGAN ASET DAERAH,"BAMBANG SAATI, S.IP / BIDANG AKUNTANSI",Restoran,JL. RAYA PALAGIMATA
